,lat,lon
Wychwood,43.6769192679,-79.425514947
Yonge-Eglinton,43.7046893677,-79.4035901675
Yonge-St.Clair,43.687858872,-79.3978707687
York University Heights,43.7657364909,-79.4888829298
Yorkdale-Glen Park,43.7146715293,-79.4571080738
Lambton Baby Point,43.6574201304,-79.4960452553
Lansing-Westgate,43.7542711549,-79.4247477215
Lawrence Park North,43.7300601723,-79.4039783636
Lawrence Park South,43.7172117048,-79.4060394102
Leaside-Bennington,43.7037966281,-79.3660723439
Little Portugal,43.6475359304,-79.4303227131
Long Branch,43.5923616885,-79.5333454492
Malvern,43.8036581967,-79.222516619
Maple Leaf,43.7155739408,-79.4807580174
Markland Wood,43.6335417462,-79.5734315474
Milliken,43.8206907942,-79.2750089244
Mimico,43.6159238613,-79.5001366364
Morningside,43.7823986145,-79.2070411878
Moss Park,43.6565176231,-79.3672970317
Mount Dennis,43.6881440868,-79.4999890581
Mount Olive-Silverstone-Jamestown,43.7468678027,-79.5872592646
Mount Pleasant East,43.7048521692,-79.3849239458
Mount Pleasant West,43.7044351706,-79.393359554
New Toronto,43.6005885981,-79.5103580889
Newtonbrook East,43.791535791,-79.4059374472
Newtonbrook West,43.7858299384,-79.4314215112
Niagara,43.6366808791,-79.412420401
North Riverdale,43.671995149,-79.3512604136
North St.James Town,43.6696234081,-79.3752465775
O'Connor-Parkview,43.7068004906,-79.3122277655
Oakridge,43.6974081338,-79.2797083433
Oakwood Village,43.6885655593,-79.4397854793
Old East York,43.6967812712,-79.3354883594
Palmerston-Little Italy,43.6591571037,-79.4184087274
Parkwoods-Donalda,43.7550334745,-79.3301795171
Pelmo Park-Humberlea,43.7175146009,-79.5282822024
Playter Estates-Danforth,43.6797004697,-79.3548872857
Pleasant View,43.786981759,-79.3349484252
Princess-Rosethorn,43.6660506043,-79.5445592919
Regent Park,43.6599921422,-79.3605088051
Rexdale-Kipling,43.7237254772,-79.5662284127
Rockcliffe-Smythe,43.6747904521,-79.4944204513
Roncesvalles,43.6461229944,-79.4429924472
Rosedale-Moore Park,43.6828204253,-79.3796694025
Rouge,43.8212012569,-79.1863434458
Runnymede-Bloor West Village,43.6592688193,-79.485708182
Rustic,43.7116091166,-79.4980914696
Scarborough Village,43.7386518596,-79.216812619
South Parkdale,43.6366995242,-79.4393378312
South Riverdale,43.6492920635,-79.335651321
St.Andrew-Windfields,43.7562458348,-79.3790370865
Steeles,43.8129588259,-79.3212070061
Stonegate-Queensway,43.6355181329,-79.5011282133
Tam O'Shanter-Sullivan,43.7801298547,-79.3029187122
Taylor-Massey,43.6949981893,-79.2959011188
The Beaches,43.6710499931,-79.2996013043
Thistletown-Beaumond Heights,43.7379879173,-79.5634910172
Thorncliffe Park,43.7077492119,-79.3499836075
Trinity-Bellwoods,43.6501763,-79.4153421634
University,43.6625062026,-79.401179748
Victoria Village,43.7284890194,-79.3148738265
Waterfront Communities-The Island,43.6338803623,-79.3772023146
West Hill,43.7674902567,-79.1766760264
West Humber-Clairville,43.7161804033,-79.5963564535
Westminster-Branson,43.7788132165,-79.4524182256
Weston,43.7027160463,-79.5157225505
Weston-Pellam Park,43.6739620377,-79.4602439114
Wexford/Maryvale,43.7485721411,-79.2986365699
Willowdale East,43.7706022616,-79.4014837896
Willowdale West,43.7712104918,-79.4275578
Willowridge-Martingrove-Richview,43.683644963,-79.5542210494
Woburn,43.7667402393,-79.2285857671
Woodbine Corridor,43.6767729247,-79.3154073786
Woodbine-Lumsden,43.6941067424,-79.3111635266
Agincourt North,43.8054405769,-79.266712166
Agincourt South-Malvern West,43.7886575511,-79.2656117966
Alderwood,43.6049368959,-79.5416109273
Annex,43.6715854351,-79.4040006243
Banbury-Don Mills,43.7376570043,-79.3497179808
Bathurst Manor,43.7648133077,-79.4560551588
Bay Street Corridor,43.6575113467,-79.3857212509
Bayview Village,43.7763605236,-79.3771168597
Bayview Woods-Steeles,43.7968018666,-79.3821179542
Bedford Park-Nortown,43.7314862318,-79.4202273481
Beechborough-Greenbrook,43.6932164866,-79.4794725057
Bendale,43.7603663086,-79.2574003723
Birchcliffe-Cliffside,43.6946819786,-79.2650925923
Black Creek,43.7648902472,-79.5219793188
Blake-Jones,43.6761728798,-79.3373941732
Briar Hill-Belgravia,43.699024381,-79.4528512962
Bridle Path-Sunnybrook-York Mills,43.7310131378,-79.3789041759
Broadview North,43.6888251192,-79.3556295118
Brookhaven-Amesbury,43.7013263056,-79.485589259
Cabbagetown-South St.James Town,43.6676477274,-79.3661066581
Caledonia-Fairbank,43.688568651,-79.4552120796
Casa Loma,43.6818521005,-79.4080066472
Centennial Scarborough,43.7823764958,-79.1508432723
Church-Yonge Corridor,43.6596488635,-79.3790171666
Clairlea-Birchmount,43.713592375,-79.2813817842
Clanton Park,43.7419784331,-79.4463025758
